#!SbcSavedTrendFile;Version_4;Html5Runtime_V3.0;
#!SBC trends log file generated on: 27.06.2023 08:18:46;
10;
3501-RT503	-20	100	255,0,0;
3201-RT401	-20	100	0,64,0;
3201-RT501	-20	100	0,0,128;
3501-RT401	-20	100	128,0,128;
3501-RT504	-20	100	255,255,0;
3501-RT001	-20	100	255,128,128;
3501-RT002	-20	100	0,255,0;
3501-RP001	-20	100	0,0,255;
3501-RP002	-20	100	255,128,192;
BC-RN001	-20	100	255,255,128;

#!(s);Date;Time;3501-RT503;3201-RT401;3201-RT501;3501-RT401;3501-RT504;3501-RT001;3501-RT002;3501-RP001;3501-RP002;BC-RN001;
1683644460;09.05.2023;15:01:00;10;18;18;12;13;9;9;40;40;19;
1683648060;09.05.2023;16:01:00;11;18;18;12;14;10;9;40;40;18;
1683651660;09.05.2023;17:01:00;11;18;18;12;14;10;9;40;40;17;
1683655260;09.05.2023;18:01:00;11;18;19;12;14;10;10;40;40;17;
1683658860;09.05.2023;19:01:00;11;18;19;11;13;10;10;40;40;17;
1683662460;09.05.2023;20:01:00;11;18;19;11;13;10;10;40;40;18;
1683666060;09.05.2023;21:01:00;10;18;19;10;12;10;10;40;40;18;
1683669660;09.05.2023;22:01:00;10;18;19;9;11;10;9;40;40;19;
1683673260;09.05.2023;23:01:00;9;18;19;8;10;9;9;40;40;20;
1683676860;10.05.2023;00:01:00;9;18;19;8;10;9;9;40;40;19;
1683680460;10.05.2023;01:01:00;9;18;19;8;11;9;9;40;40;19;
1683684060;10.05.2023;02:01:00;8;18;19;8;12;9;9;40;40;19;
1683687660;10.05.2023;03:01:00;8;18;19;8;13;8;8;40;40;19;
1683691260;10.05.2023;04:01:00;8;18;19;8;14;8;8;40;40;19;
1683694860;10.05.2023;05:01:00;7;18;19;8;14;8;8;40;40;19;
1683698460;10.05.2023;06:01:00;7;18;19;7;14;8;8;40;40;19;
1683702060;10.05.2023;07:01:00;7;18;19;7;14;8;8;40;40;19;
1683705660;10.05.2023;08:01:00;7;18;19;7;14;8;8;40;40;19;
1683709260;10.05.2023;09:01:00;7;18;19;8;14;8;8;40;40;19;
1683712860;10.05.2023;10:01:00;8;18;19;8;14;8;8;40;40;19;
1683716460;10.05.2023;11:01:00;8;18;19;8;15;8;8;40;40;19;
1683720060;10.05.2023;12:01:00;9;19;19;9;15;8;8;40;40;19;
1683723660;10.05.2023;13:01:00;10;19;19;9;15;9;9;40;40;17;
1683727260;10.05.2023;14:01:00;11;19;20;10;15;10;9;40;40;16;
1683730860;10.05.2023;15:01:00;12;19;20;11;16;10;10;40;40;16;
1683734460;10.05.2023;16:01:00;12;19;20;11;17;11;10;40;40;16;
1683738060;10.05.2023;17:01:00;13;19;20;12;18;11;10;40;40;16;
1683741660;10.05.2023;18:01:00;13;19;20;12;18;12;11;40;40;16;
1683745260;10.05.2023;19:01:00;12;20;20;12;19;12;11;40;40;16;
1683748860;10.05.2023;20:01:00;12;20;20;12;19;11;11;40;40;16;
1683752460;10.05.2023;21:01:00;11;20;21;11;20;11;10;40;40;16;
1683756060;10.05.2023;22:01:00;11;20;21;11;20;11;10;40;40;18;
1683759660;10.05.2023;23:01:00;10;20;21;10;20;10;10;40;40;18;
1683763260;11.05.2023;00:01:00;9;20;21;10;20;10;10;40;40;18;
1683766860;11.05.2023;01:01:00;9;20;21;9;20;9;9;40;40;18;
1683770460;11.05.2023;02:01:00;9;20;21;9;20;9;9;40;40;18;
1683774060;11.05.2023;03:01:00;8;20;21;9;20;9;9;40;40;18;
1683777660;11.05.2023;04:01:00;8;20;21;8;20;8;9;40;40;17;
1683781260;11.05.2023;05:01:00;8;20;21;8;19;8;8;40;40;17;
1683784860;11.05.2023;06:01:00;7;20;21;8;19;8;8;40;40;17;
1683788460;11.05.2023;07:01:00;7;20;21;8;19;8;8;40;40;17;
1683792060;11.05.2023;08:01:00;7;20;21;8;19;8;8;40;40;17;
1683795660;11.05.2023;09:01:00;8;20;21;8;19;8;8;40;40;17;
1683799260;11.05.2023;10:01:00;8;21;21;8;19;8;8;40;40;17;
1683802860;11.05.2023;11:01:00;8;20;21;8;19;8;8;40;40;17;
1683806460;11.05.2023;12:01:00;9;21;21;8;19;8;8;40;40;17;
1683810060;11.05.2023;13:01:00;9;21;21;9;19;9;9;40;40;18;
1683813660;11.05.2023;14:01:00;9;21;21;9;19;9;9;40;40;18;
1683817260;11.05.2023;15:01:00;9;21;21;9;19;9;9;40;40;18;
1683820860;11.05.2023;16:01:00;9;21;21;9;19;9;9;40;40;18;
1683824460;11.05.2023;17:01:00;10;21;21;9;19;9;9;40;40;18;
1683828060;11.05.2023;18:01:00;9;21;21;9;20;9;9;40;40;18;
1683831660;11.05.2023;19:01:00;9;21;21;9;20;9;9;40;40;18;
1683835260;11.05.2023;20:01:00;9;21;21;9;20;9;9;40;40;17;
1683838860;11.05.2023;21:01:00;9;21;21;9;20;9;9;40;40;17;
1683842460;11.05.2023;22:01:00;9;21;21;9;20;9;9;40;40;17;
1683846060;11.05.2023;23:01:00;9;21;21;9;20;9;9;40;40;17;
1683849660;12.05.2023;00:01:00;8;21;21;9;20;9;9;40;40;17;
1683853260;12.05.2023;01:01:00;8;21;21;8;20;8;8;40;40;17;
1683856860;12.05.2023;02:01:00;8;21;21;8;20;8;8;40;40;16;
1683860460;12.05.2023;03:01:00;7;21;21;8;19;8;8;40;40;16;
1683864060;12.05.2023;04:01:00;7;21;21;7;8;8;8;40;40;18;
1683867660;12.05.2023;05:01:00;7;52;35;6;7;8;8;40;40;18;
1683871260;12.05.2023;06:01:00;7;48;34;6;7;8;8;40;40;18;
1683874860;12.05.2023;07:01:00;7;46;34;6;7;8;8;40;40;18;
1683878460;12.05.2023;08:01:00;7;38;35;5;7;8;8;40;40;8;
1683882060;12.05.2023;09:01:00;7;36;34;6;7;8;8;40;40;8;
1683885660;12.05.2023;10:01:00;8;35;33;7;8;8;8;40;40;8;
1683889260;12.05.2023;11:01:00;8;33;32;8;10;8;8;40;40;8;
