#!SbcSavedTrendFile;Version_4;Html5Runtime_V3.0;
#!SBC trends log file generated on: 03.10.2023 13:15:20;
10;
3501-RT503	-20	100	255,0,0;
3201-RT401	-20	100	0,64,0;
3201-RT501	-20	100	0,0,128;
3501-RT401	-20	100	128,0,128;
3501-RT504	-20	100	255,255,0;
3501-RT001	-10	50	255,128,128;
3501-RT002	-20	100	0,255,0;
3501-RP001	-10	50	0,0,255;
3501-RP002	-10	50	255,128,192;
BC-RN001	-20	100	255,255,128;

#!(s);Date;Time;3501-RT503;3201-RT401;3201-RT501;3501-RT401;3501-RT504;3501-RT001;3501-RT002;3501-RP001;3501-RP002;BC-RN001;
1690761660;31.07.2023;00:01:00;17;29;18;2;8;17;17;40;40;21;
1690765260;31.07.2023;01:01:00;17;29;18;1;8;17;17;40;40;21;
1690768860;31.07.2023;02:01:00;17;29;18;1;7;17;17;40;40;21;
1690772460;31.07.2023;03:01:00;17;29;18;1;7;17;17;40;40;21;
1690776060;31.07.2023;04:01:00;17;28;17;0;6;17;17;40;40;21;
1690779660;31.07.2023;05:01:00;17;28;17;0;6;16;17;40;40;21;
1690783260;31.07.2023;06:01:00;17;28;17;0;5;16;17;40;40;21;
1690786860;31.07.2023;07:01:00;17;28;17;0;5;16;17;40;40;21;
1690790460;31.07.2023;08:01:00;17;28;17;0;6;16;17;40;40;21;
1690794060;31.07.2023;09:01:00;17;28;17;0;6;16;17;40;40;21;
1690797660;31.07.2023;10:01:00;17;28;17;1;7;16;17;40;40;21;
1690801260;31.07.2023;11:01:00;17;29;17;1;8;16;17;40;40;21;
1690804860;31.07.2023;12:01:00;17;29;17;2;8;16;17;40;40;21;
1690808460;31.07.2023;13:01:00;17;29;17;2;9;16;17;40;40;18;
1690812060;31.07.2023;14:01:00;17;29;17;3;10;17;17;40;40;19;
1690815660;31.07.2023;15:01:00;17;30;18;4;11;17;17;40;40;18;
1690819260;31.07.2023;16:01:00;17;30;18;5;12;17;17;40;40;18;
1690822860;31.07.2023;17:01:00;17;31;18;6;13;17;17;40;40;18;
1690826460;31.07.2023;18:01:00;17;31;18;5;13;17;17;40;40;18;
1690830060;31.07.2023;19:01:00;17;31;18;5;13;17;17;40;40;18;
1690833660;31.07.2023;20:01:00;18;30;18;5;12;17;17;40;40;18;
1690837260;31.07.2023;21:01:00;17;30;18;4;11;17;17;40;40;18;
1690840860;31.07.2023;22:01:00;17;30;18;3;10;17;17;40;40;18;
1690844460;31.07.2023;23:01:00;17;29;18;2;8;17;17;40;40;18;
1690848060;01.08.2023;00:01:00;17;29;18;1;7;17;17;40;40;18;
1690851660;01.08.2023;01:01:00;17;29;18;1;7;17;17;40;40;18;
1690855260;01.08.2023;02:01:00;17;28;18;0;6;17;17;40;40;18;
1690858860;01.08.2023;03:01:00;17;28;18;0;5;17;17;40;40;18;
1690862460;01.08.2023;04:01:00;17;23;17;2;5;17;17;40;40;18;
1690866060;01.08.2023;05:01:00;16;22;17;2;5;16;17;40;40;18;
1690869660;01.08.2023;06:01:00;16;22;16;2;5;16;16;40;40;18;
1690873260;01.08.2023;07:01:00;16;22;16;2;5;16;16;40;40;18;
1690876860;01.08.2023;08:01:00;15;22;16;2;6;15;16;40;40;18;
1690880460;01.08.2023;09:01:00;16;27;16;0;6;16;16;40;40;18;
1690884060;01.08.2023;10:01:00;16;27;17;1;7;16;16;40;40;18;
1690887660;01.08.2023;11:01:00;17;28;17;1;7;16;16;40;40;18;
1690891260;01.08.2023;12:01:00;17;28;17;1;7;16;17;40;40;18;
1690894860;01.08.2023;13:01:00;17;29;17;1;8;16;17;40;40;18;
1690898460;01.08.2023;14:01:00;17;29;17;3;10;16;17;40;40;18;
1690902060;01.08.2023;15:01:00;17;30;18;5;13;16;17;40;40;17;
1690905660;01.08.2023;16:01:00;17;31;18;6;14;17;17;40;40;17;
1690909260;01.08.2023;17:01:00;17;31;18;6;14;17;17;40;40;17;
1690912860;01.08.2023;18:01:00;17;31;18;6;13;17;17;40;40;17;
1690916460;01.08.2023;19:01:00;18;31;18;6;13;17;17;40;40;17;
1690920060;01.08.2023;20:01:00;18;31;18;5;13;17;17;40;40;17;
1690923660;01.08.2023;21:01:00;18;30;18;4;11;17;17;40;40;17;
1690927260;01.08.2023;22:01:00;18;30;18;3;10;17;17;40;40;17;
1690930860;01.08.2023;23:01:00;17;30;18;3;9;17;17;40;40;17;
